,都道府県,都市,人口2015,人口2020,年少人口,生産年齢人口,老年人口,人口増加率,年少人口増加率,生産年齢人口増加率,老年人口増加率,出生数,死亡数,転入数,転出数,出生数増加率,死亡数増加率,転入数増加率,転出数増加率,地元進学男性,地元進学女性,地元就職男性,地元就職女性,流出進学男性,流出進学女性,流出就職男性,流出就職女性,流入進学男性,流入進学女性,流入就職男性,流入就職女性,有効求職者数（男性）,有効求職者数（女性）,有効求人数,就職件数
85,北海道,沼田町,3181,2909,257,1412,1240,-8.54,-9.18,-11.85,-4.31,14,41,116,130,0.7777777777777778,0.8367346938775511,1.0740740740740742,0.8441558441558441,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
86,北海道,鷹栖町,7018,6567,804,3491,2272,-6.42,-22.68,-9.36,6.87,30,78,209,215,0.6976744186046512,0.9629629629629629,1.1546961325966851,1.0336538461538463,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
87,北海道,東神楽町,10233,10127,1545,5638,2929,-1.03,-3.97,-6.13,11.92,47,119,351,366,0.6619718309859155,1.3222222222222222,0.6828793774319066,1.0427350427350428,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
88,北海道,当麻町,6689,6319,649,3011,2659,-5.52,-9.98,-9.0,0.0,30,96,233,195,0.8823529411764706,0.9320388349514563,1.0355555555555556,0.8552631578947368,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
89,北海道,比布町,3777,3520,353,1706,1461,-6.79,-1.39,-10.01,-4.06,14,47,83,111,0.8235294117647058,1.0217391304347827,0.7757009345794392,0.8604651162790697,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
90,北海道,愛別町,2976,2605,221,1178,1206,-12.46,-19.63,-18.35,-4.12,7,48,140,142,0.3333333333333333,0.8727272727272727,0.7142857142857143,0.6173913043478261,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
91,北海道,上川町,4044,3500,263,1687,1550,-13.44,-26.32,-18.96,-3.42,17,43,162,249,0.9444444444444444,0.7413793103448276,0.801980198019802,0.8861209964412812,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
92,北海道,東川町,8111,8314,1085,4469,2759,2.5,2.65,0.43,5.99,42,104,585,464,0.8936170212765957,1.223529411764706,1.1359223300970873,1.3219373219373218,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
93,北海道,美瑛町,10292,9668,927,4992,3749,-6.05,-16.93,-8.17,0.37,42,141,306,342,0.65625,0.8867924528301887,0.8869565217391304,0.8465346534653465,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
94,北海道,上富良野町,10826,10348,1195,5741,3314,-4.41,-15.54,-6.5,2.47,65,111,522,637,0.7738095238095238,0.925,0.9886363636363636,1.0274193548387096,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
95,北海道,中富良野町,5069,4733,594,2406,1731,-6.62,-8.32,-10.98,3.53,24,80,173,203,0.8571428571428571,0.9523809523809523,1.130718954248366,0.8529411764705882,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
96,北海道,南富良野町,2555,2376,250,1355,766,-7.0,-13.18,-6.61,-6.12,10,47,100,113,0.5555555555555556,1.0681818181818181,0.7299270072992701,0.9658119658119658,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
97,北海道,占冠村,1211,1306,100,847,305,7.84,-13.78,10.0,-1.92,9,10,264,509,0.8181818181818182,1.1111111111111112,1.1478260869565218,2.6510416666666665,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
98,北海道,和寒町,3596,3192,308,1470,1414,-11.22,-14.43,-13.97,-7.39,13,51,68,86,0.8125,0.7611940298507462,0.6938775510204082,0.6187050359712231,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
99,北海道,剣淵町,3228,2926,279,1451,1196,-9.35,-9.11,-16.26,0.67,17,39,76,105,1.5454545454545454,0.6842105263157895,0.5671641791044776,0.8076923076923077,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
100,北海道,下川町,3547,3126,316,1514,1257,-11.86,-9.7,-17.12,-8.24,16,61,115,138,1.2307692307692308,0.9682539682539683,0.756578947368421,0.7976878612716763,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
101,北海道,美深町,4659,4145,369,2075,1699,-11.02,-14.38,-16.82,-1.67,14,62,188,272,0.6666666666666666,0.9538461538461539,0.8392857142857143,1.0342205323193916,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
